"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.160995860E-1,1.244267747E-1,3.349951655E-2,9.789336205E0,9.790184246E0
5.185066170E-1,1.387837082E-1,4.067798331E-2,9.801301003E0,9.802367926E0
5.209135970E-1,1.292124242E-1,2.153540403E-2,9.813264847E0,9.814139115E0
5.233205760E-1,1.292124242E-1,3.589234129E-2,9.835099220E0,9.836013460E0
5.257275550E-1,1.100698411E-1,4.785645381E-2,9.887741089E0,9.888469520E0
5.281345860E-1,1.244267747E-1,3.110669367E-2,9.885348320E0,9.886180307E0
5.305415650E-1,1.220339537E-1,2.871387079E-2,9.875777245E0,9.876572936E0
5.329485440E-1,1.244267747E-1,1.196411345E-2,9.873384476E0,9.874175721E0
5.353555240E-1,1.339980662E-1,2.153540403E-2,9.873384476E0,9.874317205E0
5.377625550E-1,1.268195957E-1,2.392822690E-2,9.873384476E0,9.874227908E0
5.401695340E-1,1.172483116E-1,1.914258115E-2,9.835099220E0,9.835816706E0
5.425765130E-1,1.220339537E-1,1.914258115E-2,9.803693771E0,9.804471953E0
5.449834920E-1,1.363908947E-1,1.435693540E-2,9.779765129E0,9.780726690E0
5.473904720E-1,1.268195957E-1,7.178467698E-3,9.770194054E0,9.771019731E0
5.497975030E-1,1.339980662E-1,1.196411345E-2,9.777372360E0,9.778297853E0
5.522044820E-1,1.196411327E-1,2.153540403E-2,9.801301003E0,9.802054842E0
5.546114610E-1,1.172483116E-1,3.828516230E-2,9.823135376E0,9.823909687E0
5.570184400E-1,1.244267747E-1,5.024927482E-2,9.827920914E0,9.828836986E0
5.594254720E-1,1.244267747E-1,5.264209956E-2,9.835099220E0,9.836027139E0
5.618324510E-1,1.459621787E-1,3.589234129E-2,9.839884758E0,9.841032734E0
5.642394300E-1,1.316052526E-1,3.349951655E-2,9.854242325E0,9.855178028E0
5.666464090E-1,1.244267747E-1,2.871387079E-2,9.859027863E0,9.859854811E0
5.690534400E-1,1.196411327E-1,1.914258115E-2,9.870991707E0,9.871735294E0
5.714604190E-1,1.196411327E-1,4.307080805E-2,9.851848602E0,9.852669180E0
5.738673990E-1,1.220339537E-1,3.589234129E-2,9.842277527E0,9.843099484E0
5.762743780E-1,1.387837082E-1,1.435693540E-2,9.835099220E0,9.836088842E0
5.786814090E-1,1.172483116E-1,1.435693540E-2,9.815657616E0,9.816368357E0
5.810883880E-1,1.100698411E-1,1.196411345E-2,9.784550667E0,9.785177068E0
5.834953670E-1,1.172483116E-1,2.392822690E-2,9.770194054E0,9.770926853E0
5.859023470E-1,1.196411327E-1,2.153540403E-2,9.751050949E0,9.751808673E0
5.883093780E-1,1.052841991E-1,2.153540403E-2,9.772586823E0,9.773177668E0
5.907163570E-1,1.076770201E-1,3.589234129E-2,9.791728973E0,9.792386782E0
5.931233360E-1,9.810572863E-2,2.392822690E-2,9.810872078E0,9.811391758E0
5.955303150E-1,1.100698411E-1,1.435693540E-2,9.849455833E0,9.850081305E0
5.979372940E-1,1.196411327E-1,4.307080805E-2,9.842277527E0,9.843098903E0
6.003443260E-1,1.363908947E-1,3.349951655E-2,9.844670296E0,9.845672040E0
6.027513050E-1,1.387837082E-1,4.067798331E-2,9.859027863E0,9.860088540E0
6.051582840E-1,1.244267747E-1,3.589234129E-2,9.849455833E0,9.850307127E0
6.075652630E-1,1.244267747E-1,4.546362907E-2,9.847063065E0,9.847954100E0
6.099722940E-1,1.148554832E-1,5.024927482E-2,9.813264847E0,9.814065606E0
6.123792740E-1,1.220339537E-1,3.110669367E-2,9.791728973E0,9.792538803E0
6.147862530E-1,9.810572863E-2,2.871387079E-2,9.779765129E0,9.780299341E0
6.171932320E-1,1.004985496E-1,3.110669367E-2,9.767801285E0,9.768367802E0
6.196002630E-1,1.172483116E-1,3.828516230E-2,9.760622978E0,9.761402248E0
6.220072420E-1,1.100698411E-1,6.460621208E-2,9.758230209E0,9.759064820E0
6.244142220E-1,1.004985496E-1,6.221338734E-2,9.770194054E0,9.770908981E0
6.268212010E-1,9.092725813E-2,6.939185411E-2,9.779765129E0,9.780433987E0
6.292282320E-1,1.124626622E-1,7.178468257E-2,9.803693771E0,9.804601596E0
6.316352110E-1,9.571290761E-2,8.374879509E-2,9.818050385E0,9.818874079E0
6.340421900E-1,7.896314561E-2,8.374879509E-2,9.827920914E0,9.828594942E0
6.364491690E-1,7.178468257E-2,8.135596663E-2,9.825528145E0,9.826127170E0
